l0|l1|m0|m1|q01|q10|tree|ntips|tipstates
1.09309738280915|1.13901852884106|1.22661442617429|1.09334859323131|1.18678424982418|1.14602864098494|((sp66:0.1536531867,sp67:0.1536531867)nd68:2.307461701,((sp69:0.05750340142,sp70:0.05750340142)nd69:0.7907777234,(sp61:0.731760458,sp62:0.731760458)nd66:0.1165206668)nd63:1.612833763)nd50;|6|sp61=2,sp62=1,sp66=2,sp67=2,sp69=1,sp70=1
1.12506265387311|1.20739717267087|1.2488765286587|1.14886283123466|1.15332354219939|1.24223699961022|(sp32:1.706625769,(((sp51:0.65300566,sp44:0.65300566)nd46:0.05332796134,(sp53:0.5351709639,sp54:0.5351709639)nd53:0.1711626574)nd45:0.6028052303,(sp43:0.6909885807,((sp58:0.1266868746,sp59:0.1266868746)nd52:0.5014830517,(sp47:0.580893529,(sp56:0.1887071821,sp57:0.1887071821)nd58:0.3921863469)nd51:0.04727639737)nd48:0.06281865429)nd44:0.618150271)nd36:0.3974869175)nd31;|11|sp32=2,sp43=1,sp44=1,sp47=1,sp51=2,sp53=2,sp54=2,sp56=1,sp57=1,sp58=2,sp59=1
1.17877999136836|1.24672148172512|1.02685863766623|1.17370525487095|1.17357781913478|1.17107298507185|(((((sp142:2.222827798,((((sp207:0.1632802676,sp208:0.1632802676)nd207:0.2040283025,sp186:0.3673085701)nd191:0.3010863133,sp156:0.6683948834)nd139:1.069470857,(sp192:0.286469069,sp193:0.286469069)nd140:1.451396672)nd125:0.4849620571)nd117:2.378579387,(((((sp200:0.2076799714,sp201:0.2076799714)nd209:0.03451375848,(sp204:0.1805824996,(sp209:0.07289432616,sp210:0.07289432616)nd211:0.1076881734)nd210:0.0616112303)nd195:0.4064747317,sp160:0.6486684615)nd116:2.29794411,(sp136:2.818642753,(((sp166:1.097695356,(sp152:0.8017723945,sp153:0.8017723945)nd174:0.2959229613)nd167:0.5451985767,(sp196:0.2539795474,sp197:0.2539795474)nd188:1.388914385)nd134:1.093260057,(((sp194:0.2574410518,sp195:0.2574410518)nd205:1.173823174,sp118:1.431264226)nd131:0.5364961209,((sp170:0.8212925021,sp167:0.8212925021)nd153:0.5948815561,(sp163:1.121481968,sp144:1.121481968)nd168:0.2946920897)nd138:0.5515862882)nd112:0.7683936431)nd110:0.08248876341)nd100:0.1279698187)nd90:1.05429374,sp177:4.000906311)nd49:0.6005008737)nd25:0.9373624571,sp100:5.538769642)nd14:0.8485829653,sp199:6.387352608)nd12:0.009092596869,(((sp211:0.03357926656,sp212:0.03357926656)nd163:1.746360132,sp125:1.779939398)nd129:2.862776735,(((sp171:0.5838409726,(sp188:0.5022551478,(sp179:0.43924105,sp180:0.43924105)nd201:0.0630140978)nd197:0.08158582477)nd194:0.06330011084,sp161:0.6471410834)nd184:0.1192385303,(sp181:0.4623863731,(sp205:0.4183581924,sp183:0.4183581924)nd204:0.04402818074)nd185:0.3039932406)nd165:3.87633652)nd38:1.753729071)nd11;|40|sp100=1,sp118=2,sp125=1,sp136=1,sp142=1,sp144=1,sp152=1,sp153=2,sp156=1,sp160=2,sp161=2,sp163=1,sp166=1,sp167=2,sp170=1,sp171=1,sp177=1,sp179=2,sp180=1,sp181=2,sp183=2,sp186=2,sp188=1,sp192=2,sp193=2,sp194=2,sp195=2,sp196=2,sp197=2,sp199=2,sp200=2,sp201=1,sp204=1,sp205=1,sp207=2,sp208=2,sp209=1,sp210=1,sp211=2,sp212=2
1.10509956031459|1.09022921579344|1.0701634605352|1.13327395002734|1.08806302388273|1.13710213994062|((sp59:2.361395595,(((sp89:1.160004723,((sp86:0.1173819053,sp87:0.1173819053)nd87:0.07538429919,sp82:0.1927662045)nd81:0.9672385187)nd74:0.1133213303,(((sp84:0.173922762,sp85:0.173922762)nd88:0.01472410912,sp83:0.1886468711)nd76:1.042800896,sp79:1.231447768)nd75:0.04187828593)nd73:0.1630581414,(((sp80:0.2097296311,sp81:0.2097296311)nd83:0.3617383951,(sp75:0.4515837993,sp73:0.4515837993)nd84:0.1198842269)nd82:0.489068364,sp67:1.06053639)nd72:0.3758478048)nd69:0.9250114)nd61:5.030808851,(sp72:0.4873413296,sp76:0.4873413296)nd66:6.904863117)nd25;|16|sp59=2,sp67=1,sp72=1,sp73=2,sp75=2,sp76=1,sp79=2,sp80=1,sp81=1,sp82=1,sp83=2,sp84=2,sp85=2,sp86=1,sp87=1,sp89=2
1.23612692101742|1.20026381964315|1.19705429671212|1.07796816865113|1.17942856592155|1.14099974280008|(sp52:2.627213106,(((sp58:0.3463114867,sp59:0.3463114867)nd62:1.280291298,(sp60:0.2024303875,sp61:0.2024303875)nd58:1.424172397)nd55:0.2280191146,((sp62:0.04524203007,sp63:0.04524203007)nd61:1.551889214,sp54:1.597131244)nd56:0.2574906558)nd52:0.7725912062)nd35;|8|sp52=2,sp54=2,sp58=1,sp59=1,sp60=1,sp61=1,sp62=1,sp63=1
1.15638488821448|1.13992310915142|1.15168381406926|1.04258776796107|1.20551405402885|1.12434754465624|(((sp90:0.6302794293,sp91:0.6302794293)nd90:2.837984777,(sp88:0.6426390998,sp89:0.6426390998)nd62:2.825625107)nd54:2.429134068,sp78:5.897398275)nd26;|5|sp78=1,sp88=1,sp89=1,sp90=1,sp91=1
1.2126063810527|1.05258974581657|1.17098108871235|1.3095245542914|1.13074167436701|1.13922472875237|(((sp82:0.1692650958,(sp83:0.1452108237,sp84:0.1452108237)nd83:0.0240542721)nd82:0.4206249912,sp79:0.589890087)nd74:4.99726545,sp77:5.587155537)nd39;|5|sp77=1,sp79=1,sp82=1,sp83=1,sp84=1
1.14406190789983|1.10756764828019|1.13052422321594|1.08653478974357|1.08418017002308|1.17770091414973|(((((sp192:0.1415512315,sp193:0.1415512315)nd190:1.32354848,sp144:1.465099712)nd154:0.237290212,(sp169:0.5361251461,sp166:0.5361251461)nd155:1.166264778)nd153:1.087539932,((sp176:0.3685506721,sp177:0.3685506721)nd152:1.455162899,(sp179:0.3575169358,(sp182:0.3159550592,sp183:0.3159550592)nd198:0.04156187656)nd178:1.466196635)nd147:0.966216285)nd116:4.531298007,((sp181:4.000369258,((((sp174:0.3843583931,sp175:0.3843583931)nd187:1.829141615,sp156:2.213500008)nd136:0.1028797187,((sp185:0.2173512687,sp186:0.2173512687)nd193:0.2091898339,(sp187:0.2154789343,sp188:0.2154789343)nd194:0.2110621683)nd163:1.889838624)nd117:0.6489934677,(sp163:1.672454269,((((sp203:0.03145062797,sp204:0.03145062797)nd203:0.06012220194,sp196:0.0915728299)nd200:0.1331431441,sp189:0.224715974)nd185:0.7106200029,sp146:0.935335977)nd168:0.7371182922)nd140:1.292918925)nd98:1.034996064)nd87:2.070203296,((((sp184:0.3019663209,(sp197:0.08496203072,sp198:0.08496203072)nd199:0.2170042902)nd197:0.0571896925,sp178:0.3591560134)nd184:0.8769997924,(sp199:0.06254966602,sp200:0.06254966602)nd195:1.17360614)nd133:1.390127716,(sp151:1.754103978,((sp194:0.1336901696,sp195:0.1336901696)nd180:0.6049689396,((sp191:0.1804793874,(sp201:0.04439023614,sp202:0.04439023614)nd202:0.1360891513)nd191:0.3681820797,sp165:0.5486614671)nd186:0.1899976421)nd160:1.015444869)nd131:0.8721795435)nd109:3.444289033)nd26:1.250655308)nd19;|37|sp144=1,sp146=1,sp151=2,sp156=2,sp163=1,sp165=2,sp166=2,sp169=2,sp174=2,sp175=2,sp176=2,sp177=2,sp178=2,sp179=1,sp181=2,sp182=1,sp183=2,sp184=1,sp185=2,sp186=1,sp187=1,sp188=1,sp189=2,sp191=2,sp192=1,sp193=1,sp194=2,sp195=2,sp196=2,sp197=1,sp198=1,sp199=1,sp200=1,sp201=2,sp202=2,sp203=2,sp204=2
1.16061967844275|1.23131675982375|1.1768277888386|1.11599473238861|1.15840122801023|1.25782294520761|((sp18:0.7447092025,sp17:0.7447092025)nd18:0.4557173883,((sp21:0.07277960223,(sp22:0.04147496113,sp23:0.04147496113)nd22:0.0313046411)nd21:0.3779182055,sp20:0.4506978077)nd19:0.7497287831)nd17;|6|sp17=1,sp18=1,sp20=2,sp21=2,sp22=2,sp23=2
1.16183778653364|1.11390353059838|1.10168915414987|1.08178666287231|1.24513195624188|1.12465573559726|((sp100:1.697937506,((((sp126:0.07895555267,sp127:0.07895555267)nd127:0.1272380648,sp122:0.2061936175)nd124:0.6707288505,(sp111:0.5312053408,(sp113:0.4235503328,sp114:0.4235503328)nd120:0.1076550081)nd118:0.3457171271)nd113:0.1619244442,(((sp116:0.4067575804,sp117:0.4067575804)nd122:0.02471029028,((sp123:0.1615354462,sp124:0.1615354462)nd125:0.1760290651,sp118:0.3375645113)nd123:0.09390335935)nd119:0.5801693498,sp107:1.01163722)nd115:0.02720969165)nd107:0.6590905934)nd104:8.070320649,((((sp128:0.0103462235,sp129:0.0103462235)nd128:0.08530003668,sp125:0.09564626018)nd126:0.2299206352,sp119:0.3255668953)nd121:0.8615471453,(sp120:0.300255878,sp121:0.300255878)nd112:0.8868581626)nd109:8.581144114)nd1;|19|sp100=2,sp107=2,sp111=1,sp113=1,sp114=2,sp116=2,sp117=1,sp118=2,sp119=2,sp120=2,sp121=2,sp122=2,sp123=2,sp124=2,sp125=2,sp126=2,sp127=2,sp128=2,sp129=2
1.19268783652707|1.19591587233496|1.11543440143392|1.21159100328132|1.11795625959631|1.15242313028833|((sp61:0.7546239149,(sp69:0.09040577959,sp70:0.09040577959)nd67:0.6642181353)nd59:5.749670058,(((sp63:0.2333376562,sp64:0.2333376562)nd61:1.126050105,(sp59:0.2626684323,sp60:0.2626684323)nd63:1.096719329)nd58:0.9902534329,(sp67:0.2084334348,sp68:0.2084334348)nd69:2.141207759)nd53:4.154652779)nd9;|9|sp59=1,sp60=2,sp61=2,sp63=1,sp64=2,sp67=1,sp68=2,sp69=2,sp70=2
1.11474607459997|1.12757789000808|1.11328858243099|1.16541617033446|1.14467850829699|1.21085257427683|((sp60:1.253935854,sp56:1.253935854)nd53:0.7004492464,(((sp64:0.07466535691,sp65:0.07466535691)nd64:0.002854894153,sp63:0.07752025106)nd62:0.5738379757,sp62:0.6513582268)nd59:1.303026874)nd42;|6|sp56=2,sp60=1,sp62=2,sp63=1,sp64=1,sp65=1
1.29580963926459|1.15148282385221|1.09823270975136|1.23580359922204|1.06557495244928|1.1254777210999|((sp61:0.3603413104,sp62:0.3603413104)nd59:4.21232737,sp60:4.57266868)nd19;|3|sp60=1,sp61=1,sp62=2
1.19638921778196|1.20032783167676|1.16472191733656|1.16224502800521|1.14416478860299|1.2205237294063|(((sp127:2.220582914,(sp143:0.5294135666,sp144:0.5294135666)nd142:1.691169347)nd117:0.302054971,((sp120:1.121172219,(sp146:0.1460650191,sp147:0.1460650191)nd135:0.9751072001)nd131:0.878556987,((sp148:0.07355645668,sp149:0.07355645668)nd129:1.567845764,sp133:1.641402221)nd125:0.3583269856)nd118:0.5229086788)nd113:2.221693711,((sp129:0.6351094309,sp130:0.6351094309)nd138:0.2890619459,((sp135:0.4310835026,(sp138:0.2338402174,sp140:0.2338402174)nd146:0.1972432852)nd140:0.1629059709,((sp136:0.3929115352,sp137:0.3929115352)nd143:0.1713068895,sp132:0.5642184247)nd141:0.02977104878)nd139:0.3301819033)nd136:3.820160219)nd65;|17|sp120=1,sp127=1,sp129=1,sp130=1,sp132=1,sp133=1,sp135=2,sp136=1,sp137=1,sp138=2,sp140=1,sp143=1,sp144=2,sp146=2,sp147=2,sp148=2,sp149=2
1.28261553725192|1.12402320733016|1.16549408524376|1.10753698520978|1.15768219018215|1.22192143764305|((((((sp76:0.6905961502,sp77:0.6905961502)nd81:0.1713066745,(sp84:0.3307133411,sp87:0.3307133411)nd88:0.5311894837)nd80:0.5044402868,sp70:1.366343112)nd68:0.2333574776,((sp85:0.2356769426,sp86:0.2356769426)nd86:0.3146757705,sp81:0.5503527131)nd69:1.049347876)nd67:0.05561726078,(sp82:0.6969066857,((sp89:0.1525541745,sp90:0.1525541745)nd90:0.04416396801,((sp92:0.06106825639,sp93:0.06106825639)nd92:0.09145956757,sp91:0.152527824)nd91:0.04419031856)nd85:0.5001885432)nd77:0.9584111642)nd57:2.600272706,(sp73:2.750352336,sp74:2.750352336)nd49:1.50523822)nd32;|16|sp70=1,sp73=2,sp74=2,sp76=2,sp77=2,sp81=2,sp82=2,sp84=1,sp85=2,sp86=1,sp87=2,sp89=1,sp90=2,sp91=1,sp92=1,sp93=1
1.10692791788767|1.19286634951173|1.09708687704455|1.09081754272254|1.17883827516666|1.21800127389934|((((((sp154:0.1061419344,sp155:0.1061419344)nd157:0.1154715852,sp146:0.2216135197)nd155:0.02012596637,sp144:0.2417394861)nd149:0.5513835679,(sp152:0.1155948366,sp153:0.1155948366)nd148:0.6775282174)nd108:4.160977408,(sp135:4.933826495,((sp133:1.407280483,((sp156:0.05937490888,sp157:0.05937490888)nd158:0.08468183469,sp149:0.1440567436)nd143:1.26322374)nd136:0.4151104375,(sp150:0.138712085,sp151:0.138712085)nd153:1.683678836)nd127:3.111435574)nd85:0.02027396698)nd73:3.365268203,((sp131:1.028072474,(sp138:0.8110972382,((sp145:0.2416514669,(sp147:0.1716799842,sp148:0.1716799842)nd156:0.06997148272)nd151:0.3509207238,sp134:0.5925721907)nd146:0.2185250475)nd144:0.2169752359)nd137:0.4530117321,(sp158:0.02228668202,sp159:0.02228668202)nd138:1.458797524)nd130:6.838284458)nd19;|21|sp131=2,sp133=1,sp134=1,sp135=2,sp138=2,sp144=1,sp145=1,sp146=1,sp147=1,sp148=2,sp149=1,sp150=2,sp151=1,sp152=1,sp153=1,sp154=1,sp155=1,sp156=2,sp157=2,sp158=2,sp159=2
1.19839502587568|1.13122123267468|1.16808494167442|1.1818720149081|1.11103304168932|1.15890937648724|(sp30:1.172677074,sp31:1.172677074)nd31;|2|sp30=1,sp31=2
1.12565400380181|1.14663493890373|1.24805711435942|1.11755801643113|1.08553905283244|1.05014568774462|(((sp212:2.585882524,(sp228:0.1142865239,sp229:0.1142865239)nd179:2.471596)nd150:4.037868481,(((sp206:1.494367918,sp205:1.494367918)nd204:0.2180980627,(sp220:0.2105524928,sp221:0.2105524928)nd217:1.501913488)nd191:1.290491295,((sp208:0.4152601089,sp209:0.4152601089)nd221:0.2911836389,sp227:0.7064437478)nd183:2.296513528)nd134:3.62079373)nd15:1.204955319,((((sp222:0.1972228519,sp223:0.1972228519)nd229:0.02339464658,sp231:0.2206174985)nd190:4.314230493,(((sp191:1.144422014,sp201:1.144422014)nd215:0.8258106743,(sp224:0.1766888646,sp225:0.1766888646)nd227:1.793543824)nd188:0.2665593328,(sp188:1.687121851,(sp203:0.6086738932,(sp217:0.2888807963,sp218:0.2888807963)nd224:0.3197930968)nd212:1.078447958)nd189:0.5496701703)nd157:2.29805597)nd99:0.4947700331,sp215:5.029618024)nd83:2.7990883)nd12;|22|sp188=1,sp191=2,sp201=2,sp203=1,sp205=1,sp206=2,sp208=1,sp209=1,sp212=2,sp215=1,sp217=1,sp218=1,sp220=1,sp221=1,sp222=2,sp223=2,sp224=1,sp225=2,sp227=2,sp228=2,sp229=2,sp231=2
1.17209500365455|1.18922721741958|1.01572259264334|1.16899858890112|1.23642917901678|1.19829786833875|((sp38:0.7356162182,sp39:0.7356162182)nd37:0.4394584269,sp35:1.175074645)nd33;|3|sp35=2,sp38=1,sp39=2
1.20152005788858|1.17560537458088|1.16020697957401|1.01344520670742|1.17933674651162|1.1641418507213|((sp27:0.856865205,sp24:0.856865205)nd22:0.8888319929,sp22:1.745697198)nd21;|3|sp22=1,sp24=1,sp27=1
1.14718111195329|1.23250754344665|1.14777399453595|1.14678924614369|1.17171906761684|1.08453872606092|(((sp244:0.7899154851,(sp233:0.3744084564,(sp247:0.05630148338,sp248:0.05630148338)nd246:0.3181069731)nd242:0.4155070287)nd208:0.6512293692,sp189:1.441144854)nd202:6.665310095,((sp221:7.126050507,(sp226:0.4593322524,(sp238:0.2511488299,(sp245:0.08155814533,sp246:0.08155814533)nd251:0.1695906846)nd249:0.2081834225)nd207:6.666718254)nd29:0.02548683008,((((((((((sp231:0.4034634962,sp232:0.4034634962)nd223:0.566968788,(sp216:0.9578445757,sp212:0.9578445757)nd224:0.01258770851)nd218:0.131769507,(sp214:0.9015813784,((sp237:0.2793633717,sp242:0.2793633717)nd245:0.1511894202,sp230:0.4305527918)nd233:0.4710285866)nd219:0.2006204128)nd216:0.02320481831,(sp209:0.9135797812,(sp218:0.6399968498,(sp234:0.3463020431,sp235:0.3463020431)nd241:0.2936948067)nd238:0.2735829313)nd221:0.2118268283)nd212:0.1797112469,sp193:1.305117856)nd209:0.01316403289,(sp249:0.01540445979,sp250:0.01540445979)nd210:1.302877429)nd200:0.5592158536,(sp229:0.8955796171,sp199:0.8955796171)nd220:0.9819181258)nd183:0.3545964294,((sp204:1.239813426,sp198:1.239813426)nd187:0.883834663,(sp201:0.8561740996,sp224:0.8561740996)nd215:1.26747399)nd184:0.1084460832)nd182:3.853533911,sp169:6.085628083)nd71:0.09128884618,((sp251:0.003909853737,sp252:0.003909853737)nd247:0.3240460196,(sp239:0.2334157591,sp240:0.2334157591)nd248:0.09454011418)nd204:5.848961056)nd66:0.9746204077)nd21:0.9549176127)nd5;|36|sp169=1,sp189=2,sp193=1,sp198=2,sp199=1,sp201=2,sp204=1,sp209=2,sp212=2,sp214=2,sp216=1,sp218=1,sp221=1,sp224=1,sp226=1,sp229=1,sp230=2,sp231=1,sp232=1,sp233=2,sp234=1,sp235=1,sp237=2,sp238=1,sp239=2,sp240=1,sp242=2,sp244=1,sp245=1,sp246=1,sp247=2,sp248=2,sp249=2,sp250=2,sp251=1,sp252=1
1.15885577339264|1.19711880562294|1.08562760161296|1.08595960475019|1.22575219432964|1.09965464720164|((((sp142:0.1588042743,sp143:0.1588042743)nd142:0.6231603803,sp141:0.7819646547)nd139:0.01610327925,sp139:0.7980679339)nd125:6.397807055,(((sp144:1.232526701,((sp146:0.07576088262,(sp150:0.05386994863,(sp151:0.04141560078,sp152:0.04141560078)nd151:0.01245434785)nd150:0.02189093399)nd146:0.5224491531,sp133:0.5982100358)nd144:0.6343166656)nd112:1.071009385,sp131:2.303536087)nd102:4.204312325,((sp147:0.06022082289,sp148:0.06022082289)nd145:0.8551269708,(sp134:0.4898299788,sp135:0.4898299788)nd138:0.425517815)nd135:5.592500617)nd27:0.6880265781)nd9;|15|sp131=2,sp133=1,sp134=1,sp135=1,sp139=1,sp141=2,sp142=1,sp143=1,sp144=1,sp146=2,sp147=1,sp148=1,sp150=2,sp151=2,sp152=2
1.08478492070602|1.26125146688319|1.15844436788867|1.12985449363996|1.14997813675009|1.24405633991536|((((sp93:0.8660151196,sp100:0.8660151196)nd102:0.1732257213,sp83:1.039240841)nd100:0.6502968491,(sp110:0.2323216941,sp120:0.2323216941)nd89:1.457215996)nd58:3.388811739,(((sp87:0.9815445588,(sp96:0.7421198351,sp97:0.7421198351)nd104:0.2394247237)nd94:1.500417458,(sp104:0.5210425911,((sp111:0.1970620078,sp112:0.1970620078)nd116:0.1952209663,sp107:0.3922829741)nd114:0.128759617)nd81:1.960919426)nd51:0.9390169932,((sp102:0.8881741322,(sp113:0.1418809416,sp114:0.1418809416)nd115:0.7462931907)nd96:1.877261691,(((sp82:1.047138119,(sp118:0.1032957552,(sp115:0.08031810076,sp116:0.08031810076)nd119:0.02297765449)nd111:0.9438423639)nd90:1.302783484,sp99:2.349921604)nd75:0.1870869541,(sp108:0.3258143153,sp109:0.3258143153)nd108:2.211194242)nd65:0.2284272656)nd62:0.6555431868)nd46:1.657370419)nd29;|22|sp82=1,sp83=2,sp87=2,sp93=2,sp96=1,sp97=2,sp99=2,sp100=1,sp102=2,sp104=1,sp107=1,sp108=1,sp109=1,sp110=2,sp111=2,sp112=1,sp113=1,sp114=1,sp115=1,sp116=1,sp118=2,sp120=2
1.12031950314014|1.13651445629155|1.27164846618015|1.1217688769049|1.18068074340108|1.16540448519875|((((((sp110:0.7138398965,(sp143:0.2803495047,(sp150:0.06997223219,sp151:0.06997223219)nd156:0.2103772725)nd141:0.4334903918)nd103:0.8472266101,(sp105:1.481478275,(sp99:1.003887633,(sp156:0.05076402199,sp157:0.05076402199)nd131:0.9531236106)nd116:0.4775906426)nd104:0.07958823133)nd98:0.1541338588,(sp133:0.4032349162,sp134:0.4032349162)nd99:1.311965449)nd93:0.02967193918,((sp138:0.2978044366,sp139:0.2978044366)nd125:1.130959842,(sp154:0.2123633873,sp144:0.2123633873)nd153:1.216400891)nd105:0.3161080257)nd83:0.3882178234,(((sp142:0.2838487784,(sp158:0.04651218369,sp159:0.04651218369)nd155:0.2373365947)nd154:0.6761140321,sp136:0.9599628105)nd120:0.9542895298,(sp80:1.723472236,(sp118:0.8785991013,(sp115:0.621571739,sp116:0.621571739)nd133:0.2570273622)nd127:0.8448731348)nd91:0.1907801042)nd85:0.2188377877)nd80:2.460330447,(((sp112:0.6803810734,(sp146:0.3823908454,sp135:0.3823908454)nd143:0.297990228)nd136:0.06088361946,((sp152:0.06055537063,sp153:0.06055537063)nd138:0.6777460562,((sp113:0.6454611919,((sp145:0.210921101,(sp148:0.1184627781,sp149:0.1184627781)nd158:0.09245832291)nd145:0.4181458616,sp114:0.6290669627)nd144:0.01639422921)nd142:0.04930628567,sp111:0.6947674775)nd139:0.04353394933)nd137:0.002963265953)nd121:3.742993673,((sp123:1.478517452,(sp119:0.5979343446,sp128:0.5979343446)nd109:0.880583107)nd95:0.4412075662,sp125:1.919725018)nd79:2.564533348)nd43:0.1091622089)nd40;|37|sp80=2,sp99=2,sp105=2,sp110=1,sp111=2,sp112=1,sp113=1,sp114=1,sp115=1,sp116=1,sp118=2,sp119=2,sp123=2,sp125=2,sp128=1,sp133=1,sp134=1,sp135=1,sp136=2,sp138=2,sp139=2,sp142=1,sp143=2,sp144=1,sp145=2,sp146=2,sp148=2,sp149=2,sp150=2,sp151=2,sp152=2,sp153=2,sp154=1,sp156=2,sp157=1,sp158=1,sp159=1
